date,portfolio_return,turnover,cum_return
2024-01-04,0.06666044814364619,0.5000000000000016,0.06866044814364614
2024-01-05,0.06394672178298891,0.0,0.13913510139785945
2024-01-08,0.0853384555727605,0.0,0.23862540184266856
2024-01-11,0.0835598407013568,0.0,0.3446019939129814
2024-01-12,0.10196160539512225,0.0,0.4843889758176574
2024-01-15,0.10477938346934236,0.0,0.6428911154841555
2024-01-18,0.15035812624027928,0.0,0.8931989274561238
2024-01-19,0.13224791511446757,0.0,1.1473569363640546
2024-01-22,0.1558572428525237,0.0,1.4863327817587266
2024-01-25,0.15365271794421068,0.0,1.8733372369532622
2024-01-26,0.15045522259963873,0.0,2.3113925050168027
2024-01-29,0.15690415681798872,0.0,2.8375865389199055
